 225  55  247
 229  57  247
 232  58  245
 235  60  245
 240  60  246
 242  61  245
 246  61  245
 249  60  243
 255  61  242
 2  59  242
 4  61  241
 7  59  240
 12  56  238
 16  55  237
 20  51  237
 24  57  236
 26  50  236
 28  49  238
 30  48  239
 32  47  240
 34  46  244
 35  47  246
 40  46  247
 43  40  251
 42  41  251
 47  35  250
 49  33  251
 53  28  251
 56  22  253
 56  21  250
 55  17  250
 57  13  250
 60  11  250
 56  8  249
 56  5  250
 63  4  252
 59  2  251
 54  254  253
 59  253  253
 60  251  251
 59  245  250
 57  243  251
 55  240  251
 53  238  249
 58  236  250
 52  236  251
 58  235  250
 58  233  253
 56  233  252
 53  233  252
 54  230  252
 53  227  252
 51  225  249
 49  222  248
 47  223  253
 50  218  253
 47  218  255
 46  216  1
 49  216  6
 44  216  7
 48  217  8
 49  216  9
 44  216  10
 42  215  11
 45  213  11
 43  210  1
 41  206  5
 39  210  1
 32  202  8
 24  197  6
 15  191  5
 15  193  7
 10  193  8
 12  193  8
 6  195  7
 2  192  5
 250  192  6
 246  189  3
 234  192  254
 226  193  252
 228  193  254
 223  192  251
 221  201  255
 221  200  254
 215  199  253
 210  205  251
 203  211  249
 206  211  248
 204  213  249
 207  210  254
 208  204  253
 204  211  254
 203  214  253
 194  218  253
 200  220  1
 195  228  3
 195  226  4
 192  231  5
 192  233  1
 192  237  3
 190  237  4
 195  240  6
 189  245  1
 203  33  9
 203  51  32
 206  37  18
 206  30  19
 212  42  12
 215  48  10
 221  58  3
 230  56  247
 233  65  2
 232  60  3
 14  61  254
 18  61  255
 23  55  250
 29  53  251
 30  47  244
 33  47  251
 37  45  254
 42  43  252
 40  39  250
 45  38  1
 46  34  252
 47  33  255
 51  32  252
 51  31  253
 54  26  254
 53  20  253
 52  24  255
 55  17  250
 55  16  253
 55  13  254
 57  14  253
 61  17  253
 58  16  253
 57  12  252
 58  11  254
 57  9  252
 58  8  253
 58  7  253
 58  5  251
 60  3  252
 59  2  254
 61  255  250
 57  254  254
 59  250  252
 59  251  251
 58  250  251
 57  247  248
 60  245  248
 58  247  251
 57  245  250
 59  241  250
 56  236  249
 54  229  248
 50  226  251
 47  220  249
 47  218  248
 42  218  247
 41  210  244
 30  215  240
 33  202  244
 29  197  239
 29  201  242
 27  200  243
 23  197  241
 21  198  241
 20  197  239
 19  200  238
 15  197  236
 14  199  235
 12  197  233
 9  195  231
 4  194  230
 245  198  228
 239  199  229
 237  202  228
 236  202  226
 232  200  225
 231  204  224
 225  206  223
 223  208  225
 214  213  226
 212  214  226
 208  219  225
 210  216  226
 211  218  224
 212  223  219
 211  226  213
 215  228  214
 214  230  214
 207  234  216
 206  240  215
 204  246  216
 200  253  219
 203  251  216
 200  252  215
 199  254  216
 198  249  216
 198  252  219
 199  253  217
 194  2  223
 201  5  225
 197  7  227
 196  9  228
 197  11  228
 191  8  246
 189  6  242
 189  9  244
 189  5  249
 189  3  1
 199  3  34
 201  250  37
 206  1  45
 211  1  53
 214  253  50
